group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube06.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube07.fits                     584.73 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube07.mask.fits.gz             610.45 KB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube07.pbcor.fits               584.73 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube08.fits                     584.73 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube08.mask.fits.gz             635.50 KB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube08.pbcor.fits               584.73 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube09.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube09.mask.fits.gz             1.19 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube09.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube10.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube10.mask.fits.gz             1.34 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube10.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube11.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube11.mask.fits.gz             1.47 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube11.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube12.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube12.mask.fits.gz             1.34 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube12.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube13.fits                     584.73 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube13.mask.fits.gz             633.50 KB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube13.pbcor.fits               584.73 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube14.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube14.mask.fits.gz             1.31 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube14.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube15.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube15.mask.fits.gz             1.23 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube15.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_line.ms.contsub.tgz             389.42 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_line.ms.flagversions.tgz        69.29 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_line.ms.tgz                     770.03 GB
